English,French,MSA,POS,Dialect,DCom_Regions,CODA,CODA,RCom_Regions,MSA_Frequency,DA_Frequency,MSAFreq,DCom,RCom,DFreq,ASim,FSim
number,numéro,رَقْم ، عَدَد,NOUN,"ALE, ALG, ALX, AMM, ASW, BAG, BAS, BEI, BEN, CAI, DAM, DOH, FES, JED, JER, KHA, MOS, MUS, RAB, RIY, SAL, SAN, SFA, TRI, TUN","Syria, Lebanon, Jordan, Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen ",رقم,رقم,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",12020606,817786,7,6,6,6,1,0
number,numéro,رَقْم ، عَدَد,NOUN,"ALX, AMM, BAG, BAS, BEI, CAI, DAM, FES, JED, JER, KHA, MOS, RAB, RIY, SAL","Egypt+Sudan, Syria, Lebanon, Jordan, Palestine, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen ",عدد,عدد,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria",12020606,2905059,7,5,6,6,1,0
number,numéro,رَقْم ، عَدَد,NOUN,"ALE, ALX, AMM, BEI, CAI, DAM, JED, JER, KHA, RAB, SAL","Syria, Lebanon, Jordan, Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen , Morocco+Algeria",نمرة,نمر,"Egypt+Sudan, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",12020606,561,7,4,5,3,0,1
number,numéro,رَقْم ، عَدَد,NOUN,ALG,Morocco+Algeria,نميرو,نمر,"Egypt+Sudan, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",12020606,12,7,1,5,1,0,1
number,numéro,رَقْم ، عَدَد,NOUN,"SFA, TUN",Tunisia+Libya,نومرو,نمر,"Egypt+Sudan, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",12020606,265,7,1,5,2,0,1
hotel,hôtel,فُنْدُق,NOUN,"FES, RAB",Morocco+Algeria,اطل,طل,Morocco+Algeria,752600,47386,6,1,6,5,0,0
hotel,hôtel,فُنْدُق,NOUN,"ALE, ALX, AMM, ASW, BEI, CAI, DAM, JER, SAL, SFA, TUN","Syria, Lebanon, Jordan, Palestine, Egypt+Sudan, Tunisia+Libya",اوتيل,تل,"Egypt+Sudan, Jordan, Lebanon, Morocco+Algeria, Palestine, Syria, Tunisia+Libya",752600,5229,6,3,5,4,0,1
hotel,hôtel,فُنْدُق,NOUN,ALG,Morocco+Algeria,اوتال,تل,"Egypt+Sudan, Jordan, Lebanon, Morocco+Algeria, Palestine, Syria, Tunisia+Libya",752600,23,6,1,5,1,0,1
hotel,hôtel,فُنْدُق,NOUN,"ALE, ALX, AMM, ASW, BAG, BAS, BEN, CAI, DAM, DOH, FES, JED, JER, KHA, MOS, MUS, RAB, RIY, SAL, SAN, SFA, TRI, TUN","Syria, Lebanon, Jordan, Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen , Morocco+Algeria",فندق,فندق,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",752600,291125,6,6,6,5,1,0
hotel,hôtel,فُنْدُق,NOUN,"BAG, BAS, MOS",Iraq,فندقة,فندق,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",752600,10,6,1,6,1,1,0
hotel,hôtel,فُنْدُق,NOUN,KHA,Egypt+Sudan,لكوندة,لكند,"Egypt+Sudan, Qatar+Saudi+Oman+Yemen",752600,0,6,1,2,0,0,0
hotel,hôtel,فُنْدُق,NOUN,"ALX, ASW, CAI, SAN","Egypt+Sudan, Qatar+Saudi+Oman+Yemen ",لوكندة,لكند,"Egypt+Sudan, Qatar+Saudi+Oman+Yemen",752600,1,6,2,2,0,0,0
hotel,hôtel,فُنْدُق,NOUN,"BEN, JED, KHA, TRI","Tunisia+Libya, Qatar+Saudi+Oman+Yemen , Egypt+Sudan",هوتيل,هتل,"Egypt+Sudan, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",752600,1294,6,3,3,3,0,1
hotel,hôtel,فُنْدُق,NOUN,"SFA, TUN",Tunisia+Libya,وتيل,تل,"Egypt+Sudan, Jordan, Lebanon, Morocco+Algeria, Palestine, Syria, Tunisia+Libya",752600,158,6,1,5,2,0,1
hotel,hôtel,فُنْدُق,NOUN,"FES, RAB",Morocco+Algeria,وطيل,طل,Morocco+Algeria,752600,18,6,1,6,1,0,0
train,train,قِطار,NOUN,"ALG, SFA, TUN","Morocco+Algeria, Tunisia+Libya",تران,ترن,"Jordan, Lebanon, Morocco+Algeria, Palestine, Syria, Tunisia+Libya",185554,777,5,2,3,3,0,1
train,train,قِطار,NOUN,"ALE, AMM, BEI, DAM, JER, SAL","Syria, Lebanon, Jordan, Palestine",ترين,ترن,"Jordan, Lebanon, Morocco+Algeria, Palestine, Syria, Tunisia+Libya",185554,5253,5,1,3,4,0,1
train,train,قِطار,NOUN,"SFA, TUN",Tunisia+Libya,ترينو,ترن,"Jordan, Lebanon, Morocco+Algeria, Palestine, Syria, Tunisia+Libya",185554,16,5,1,3,1,0,1
train,train,قِطار,NOUN,"BAG, BAS",Iraq,ريل,رل,Iraq,185554,8084,5,1,1,4,0,0
train,train,قِطار,NOUN,"FES, RAB",Morocco+Algeria,طران,طرن,Morocco+Algeria,185554,8,5,1,1,1,0,0
train,train,قِطار,NOUN,FES,Morocco+Algeria,طرن,طرن,Morocco+Algeria,185554,322,5,1,1,3,0,0
train,train,قِطار,NOUN,"ALE, AMM, BAG, BAS, BEI, BEN, DAM, DOH, FES, JED, JER, MOS, MUS, RAB, RIY, SAL, SAN, SFA, TRI, TUN","Syria, Lebanon, Jordan, Palestine, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen , Morocco+Algeria",قطار,قطر,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",185554,74383,5,5,6,5,1,0
train,train,قِطار,NOUN,"ALX, ASW, CAI, KHA",Egypt+Sudan,قطر,قطر,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",185554,1175187,5,1,6,6,1,0
train,train,قِطار,NOUN,ASW,Egypt+Sudan,وابور,بر,Egypt+Sudan,185554,172,5,1,6,2,0,0
restaurant,restaurant,مَطْعَم,NOUN,"ALX, CAI, FES, RAB, SFA, TUN","Egypt+Sudan, Morocco+Algeria, Tunisia+Libya",رستوران,رسترن,"Egypt+Sudan, Morocco+Algeria, Tunisia+Libya",729299,16,6,3,3,1,0,1
restaurant,restaurant,مَطْعَم,NOUN,"ALG, FES, RAB",Morocco+Algeria,ريستو,رست,Morocco+Algeria,729299,18,6,1,2,1,0,0
restaurant,restaurant,مَطْعَم,NOUN,RAB,Morocco+Algeria,ريستوران,رسترن,"Egypt+Sudan, Morocco+Algeria, Tunisia+Libya",729299,14,6,1,3,1,0,1
restaurant,restaurant,مَطْعَم,NOUN,ALG,Morocco+Algeria,ريستورو,رستر,Morocco+Algeria,729299,0,6,1,1,0,0,0
restaurant,restaurant,مَطْعَم,NOUN,"ALE, ALX, AMM, ASW, BAG, BAS, BEI, BEN, CAI, DAM, DOH, FES, JED, JER, KHA, MOS, MUS, RAB, RIY, SAL, SAN, SFA, TRI, TUN","Syria, Lebanon, Jordan, Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen , Morocco+Algeria",مطعم,طعم,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",729299,181449,6,6,6,5,1,0
name,nom,ٱِسْم,NOUN,ALG,Morocco+Algeria,آسم,سم,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",248,161,2,1,6,2,0,0
name,nom,ٱِسْم,NOUN,"ALE, ALG, ALX, AMM, ASW, BAG, BAS, BEI, BEN, CAI, DAM, DOH, FES, JED, JER, KHA, MOS, MUS, RAB, RIY, SAL, SAN, SFA, TRI, TUN","Syria, Lebanon, Jordan, Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen ",اسم,سم,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",248,1009398,2,6,6,6,0,0
name,nom,ٱِسْم,NOUN,"FES, RAB",Morocco+Algeria,سمية,سم,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",248,1750,2,1,6,3,0,0
name,nom,ٱِسْم,NOUN,ALG,Morocco+Algeria,كنية,كن,Morocco+Algeria,248,81,2,1,6,2,0,0
water,eau,ماء,NOUN,"SFA, TUN",Tunisia+Libya,شربة,شرب,Tunisia+Libya,1428275,415,6,1,6,3,0,0
water,eau,ماء,NOUN,"ALG, FES, RAB, SFA, TUN","Morocco+Algeria, Tunisia+Libya",ما,م,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1428275,37545128,6,2,6,8,1,0
water,eau,ماء,NOUN,SAN,Qatar+Saudi+Oman+Yemen ,ماء,م,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1428275,295270,6,1,6,5,1,0
water,eau,ماء,NOUN,"BAS, DOH, MOS, MUS","Iraq, Qatar+Saudi+Oman+Yemen ",ماي,م,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1428275,76919,6,2,6,5,1,0
water,eau,ماء,NOUN,RIY,Qatar+Saudi+Oman+Yemen ,موي,م,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1428275,3638,6,1,6,4,1,0
water,eau,ماء,NOUN,"JED, KHA, RIY","Qatar+Saudi+Oman+Yemen , Egypt+Sudan",موية,م,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1428275,1329,6,2,6,3,1,0
water,eau,ماء,NOUN,"ALE, AMM, BAG, BAS, BEI, DAM, JER, SAL","Syria, Lebanon, Jordan, Palestine, Iraq",مي,م,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1428275,750385,6,2,6,6,1,0
