ID,English,French,MSA,POS,EasyCODA,EasyRegion,EasyEasinessScore,MediumCODA,MediumRegion,MediumEasinessScore,HardCODA,HardRegion,HardEasinessScore
2,hotel,hôtel,فُنْدُق,NOUN,فندق,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1300,لوكندة,"Egypt+Sudan, Qatar+Saudi+Oman+Yemen",100,لكوندة,Egypt+Sudan,50
3,train,train,قِطار,NOUN,قطار,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1300,وابور,Egypt+Sudan,150,ريل,Iraq,50
4,restaurant,restaurant,مَطْعَم,NOUN,مطعم,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1300,ريستوران,Morocco+Algeria,150,ريستو,Morocco+Algeria,50
9,insurance,assurance,تَأْمِين,NOUN,تأمين,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1250,اسيرونس,Tunisia+Libya,150,بوليصة,Egypt+Sudan,50
11,red,rouge,أَحْمَر,ADJ,احمر,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",1300,نبيتي,Syria+Lebanon+Jordan+Palestine,100,نبيدي,Syria+Lebanon+Jordan+Palestine,0
12,possible,possible,مُمْكِن,ADJ,ممكن,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1300,بيصير,Syria+Lebanon+Jordan+Palestine,150,اسكه,Qatar+Saudi+Oman+Yemen,50
13,museum,musée,مَتْحَف,NOUN,متحف,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,ميوزيه,Morocco+Algeria,100,انتيكخانة,Egypt+Sudan,0
18,hospital,hôpital,مُسْتَشْفَى,NOUN,مستشفى,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,سبيطار,"Morocco+Algeria, Tunisia+Libya",150,دختر,Qatar+Saudi+Oman+Yemen,50
19,watch,montre,ساعَة,NOUN,ساعة,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,مكانة,Morocco+Algeria,150,منقالة,Tunisia+Libya,0
24,fruit,fruit,فاكِهَة,NOUN,فاكهة,"Egypt+Sudan, Iraq, Tunisia+Libya, Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",1250,ثمر,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",150,ديسار,Tunisia+Libya,50
28,cold,froid,بارِد,ADJ,بارد,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",1300,ساقع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan",150,صاقط,Egypt+Sudan,50
29,music,musique,مُوسِيقَى,NOUN,موسيقى,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,مزيكة,Egypt+Sudan,150,لاموزيك,Morocco+Algeria,0
30,blanket,couverture,بَطّانِيَّة,NOUN,بطانية,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",1250,ملاية,Morocco+Algeria,150,برنوص,Qatar+Saudi+Oman+Yemen,50
31,beach,plage,شاطِئ,NOUN,شاطئ,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen",1300,كورنيش,Qatar+Saudi+Oman+Yemen,100,ساحل,Qatar+Saudi+Oman+Yemen,50
34,market,marché,سُوق,NOUN,سوق,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,سوبر ماركت,Qatar+Saudi+Oman+Yemen,100,عرصة,Qatar+Saudi+Oman+Yemen,50
36,meeting,réunion,ٱِجْتِماع,NOUN,اجتماع,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",300,ملتقى,Tunisia+Libya,150,جتماع,Morocco+Algeria,50
38,green,vert,أَخْضَر,ADJ,اخضر,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",1300,مخضر,Egypt+Sudan,100,زيتوني,Syria+Lebanon+Jordan+Palestine,50
45,delicious,délicieux,لَذِيذ,ADJ,لذيذ,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1300,بنين,"Morocco+Algeria, Tunisia+Libya",150,بيشهي,Syria+Lebanon+Jordan+Palestine,50
46,main,principal,رَئِيسِيّ,ADJ,رئيسي,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",1300,عمومي,Egypt+Sudan,150,جوهري,Syria+Lebanon+Jordan+Palestine,50
49,tip,pourboire,بَقْشِيش,NOUN,بقشيش,"Morocco+Algeria, Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,بخشيش,"Syria+Lebanon+Jordan+Palestine, Iraq, Qatar+Saudi+Oman+Yemen",150,تضويرة,Morocco+Algeria,0
50,pair,paire,زَوْج,NOUN,زوج,"Syria+Lebanon+Jordan+Palestine, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",1300,جزمة,Morocco+Algeria,150,اثنيناتهم,Qatar+Saudi+Oman+Yemen,50
51,fork,fourchette,شَوْكَة,NOUN,شوكة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1250,فرشيطة,"Morocco+Algeria, Tunisia+Libya",150,جطل,Iraq,50
54,perfume,parfum,عِطْر,NOUN,عطر,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",1300,بنة,Tunisia+Libya,150,كلونية,Tunisia+Libya,50
55,pepper,poivre,فِلْفِل,NOUN,فلفل,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen",1250,شطة,Egypt+Sudan,150,ابزار,Morocco+Algeria,50
56,prefer,préférer,فَضَّل,VERB,فضل,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1300,استخار,Qatar+Saudi+Oman+Yemen,150,حبز,Egypt+Sudan,0
61,wake,réveiller,أَيْقَظ,VERB,وقظ,Qatar+Saudi+Oman+Yemen,1050,نوض,"Morocco+Algeria, Tunisia+Libya",150,نهض,Qatar+Saudi+Oman+Yemen,50
62,express,express,سَرِيع,ADJ,سريع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,داوي,Qatar+Saudi+Oman+Yemen,150,رابيد,Morocco+Algeria,50
63,souvenir,souvenir,تَذْكار,NOUN,تذكار,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",1250,ذكرى,Syria+Lebanon+Jordan+Palestine,150,تحفة قديمة,Tunisia+Libya,50
68,zoo,zoo,حَدِيقَة ال+ حَيَوانات,NOUN,حديقة الحيوان,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",300,جنينة الحيوان,Egypt+Sudan,100,بوسكو,Tunisia+Libya,50
70,language,langue,لُغَة,NOUN,لغة,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,لهجة,"Qatar+Saudi+Oman+Yemen, Tunisia+Libya",150,هرجة,Qatar+Saudi+Oman+Yemen,50
73,tomato,tomate,طَماطِم,NOUN,طماطم,"Egypt+Sudan, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1200,طماطة,Iraq,150,بندورة,Syria+Lebanon+Jordan+Palestine,50
74,blouse,chemisier,بلُوزة,NOUN,بلوزة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",1350,سورية,Tunisia+Libya,150,قميجة,Morocco+Algeria,50
76,garden,jardin,حَدِيقَة,NOUN,حديقة,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria, Egypt+Sudan",1250,منتزه,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",150,نجيلة,Egypt+Sudan,50
77,immigration,immigration,هِجْرَة,NOUN,هجرة,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,اغتراب,Egypt+Sudan,150,ليمجراسيون,Morocco+Algeria,0
78,temperature,température,حَرارَة,NOUN,حرارة,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,درجة الحرارة,"Qatar+Saudi+Oman+Yemen, Egypt+Sudan",150,طومبيرتور,Morocco+Algeria,0
79,sick,malade,مَرِيض,ADJ,مريض,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,عليل,"Morocco+Algeria, Qatar+Saudi+Oman+Yemen",150,اتمرض,Iraq,50
81,passport,passeport,جَواز سَفَر,NOUN,جواز سفر,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,بسبور,Qatar+Saudi+Oman+Yemen,150,باسبورت,Syria+Lebanon+Jordan+Palestine,50
83,color,couleur,لَوْن,NOUN,لون,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,صبغة,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine",150,صبيغة,Qatar+Saudi+Oman+Yemen,50
84,why,pourquoi,لِماذا,ADV,ليش,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",300,لواش,Tunisia+Libya,150,حموه,Qatar+Saudi+Oman+Yemen,50
85,tax,taxe,ضَرِيبَة,NOUN,ضريبة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1250,جباية,Iraq,150,مكس,Tunisia+Libya,50
