ID,English,French,MSA,POS,Easy_target,Medium_target,Hard_target,Easy_distractor_1,Easy_distractor_2,Medium_distractor_1,Medium_distractor_2,Hard_distractor_1,Hard_distractor_2
2,hotel,hôtel,فُنْدُق,NOUN,اوتيل,لكوندة,وطيل,اوتي,اكال,جطل,اكل,وطية,ذيل
9,insurance,assurance,تَأْمِين,NOUN,ضمان,اسرنس,لاصورونس,سمانة,زمان,اسيون,ارجنس,بيا,سيما
12,possible,possible,مُمْكِن,ADJ,وارد,يصير,اسكه,وافد,معقولة,يسير,بلون,مجوز,عجوز
20,"pain , hurt","douleur , mal",أَلَم,NOUN,وجيعة,حريق,عوار,وج,فرع,شرق,ضفر,عكار,جار
23,stay,séjour,إِقامَة,NOUN,قعاد,سجور,نزلة,صعدة,قعادة,بيان,بيا,فلسة,زلة
30,blanket,couverture,بَطّانِيَّة,NOUN,غطا,فراش,كوفرتة,غذاء,قطر,حرم,حراق,كليشة,كمشة
31,beach,plage,شاطِئ,NOUN,بلاج,كورنيش,ساحل,بلاش,بلا,كورنر,اورنيك,ساحة,سفح
33,juice,jus,عَصِير,NOUN,جو,شراب,زوم,تو,هو,شاب,شربة,زوز,زهم
36,meeting,réunion,ٱِجْتِماع,NOUN,جلسة,لمة,ريينيو,جرعة,جماعة,يمة,كلمة,نمرة,دشة
44,direction,direction,ٱِتِّجاه,NOUN,طريق,جنب,صفحة,جية,حريق,بم,جني,صفة,شيرت
45,delicious,délicieux,لَذِيذ,ADJ,حالي,شهي,زاكي,سالي,مسلي,هين,ناعم,يشهي,زاهي
46,main,principal,رَئِيسِيّ,ADJ,اساسي,مركزي,لاباز,سالي,براني,مركاني,طاعم,سوري,كوري
49,tip,pourboire,بَقْشِيش,NOUN,بوربوار,حق التعب,تيبس,حكاية,اشكالية,ولاية,حجاة,مساندة,ترويقة
50,pair,paire,زَوْج,NOUN,اثنين,الاثنين,اثنيناتهم,اهلين,انزين,جوا,جول,زوة,رزمة
52,weekend,week-end,نِهايَة ال+ أُسْبُوع,NOUN,نهاية الاسبوع,عطلة نهاية الاسبوع,الجمعة,كان,كي كان,عملة,عجلة,المرة,جمعة
56,prefer,préférer,فَضَّل,VERB,حب,عجبه اكثر,بدى,غير,كب,استخبر,استفاد,حاز,بز
60,pen,stylo,قَلَم,NOUN,ستيلو,قلم حبر,بيرو,ستيشن,سيل,محضر,محور,بنية,جيرو
61,wake,réveiller,أَيْقَظ,VERB,صحي,نوض,نهض,قاعد,صحح,في,نوى,ولى,سعى
62,express,express,سَرِيع,ADJ,اكسبرس,مستعجل,مزروب,يسبر,اسمر,متعطل,مسقع,غاوي,دافي
63,souvenir,souvenir,تَذْكار,NOUN,سوفنير,ذكرى,تحفة قديمة,سونتر,سخونية,هدمة,هبطة,صوبة,صورة
66,necessary,nécessaire,ضَرُورِيّ,ADJ,مهم,واجب,مستلزم,لافت,ملايم,واجد,واجي,مستكوزي,مستعجل
68,zoo,zoo,حَدِيقَة ال+ حَيَوانات,NOUN,حديقة الحيوانات,جنينة الحيوان,بوسكو,يو,هو,ورقة الدوا,ذا الحين,بوبو,بوس
76,garden,jardin,حَدِيقَة,NOUN,بستان,جردة,زراعة,بنينة,جرنان,حقه,موضة,زريعة,زرعة
79,sick,malade,مَرِيض,ADJ,تعبان,سهران,متوعك,خربان,معبا,قليل,جليل,احمر,اسمر
84,why,pourquoi,لِماذا,ADV,ليه,وعلاش,لليش,مكاش,هين,را,وقتاش,بايش,هنوه
92,help,aider,ساعَد,VERB,عاون,سند,سعف,دعى,ندع,خمم,قدم,سعى,فز
95,credit,crédit,ٱِئْتِمان,NOUN,كريدي,قرض,بطاقة ائتمان,مصيد,صيد,قيض,دحين,بطاقة دخول,بيت الما
96,thanks,merci,شُكْراً,NOUN,مشكور,يعطيك الصحة,متشكر,مرة,مجرى,عشي,عيش,صنة,صفحة
97,service,service,خِدْمَة,NOUN,معروف,مساعدة,مزية,مصروف,مغراف,طلة,طيب,مزيكة,اشارة
98,cigarette,cigarette,سِيجارَة,NOUN,دخان,جيرو,سيكارة,دراع,دباب,كارو,جاري,تبسي,طبسي
100,tie,cravate,رَبْطَة عُنْق,NOUN,كرافات,ربطة,جرافة,صرفة,كارتة,صباط,سباط,صرافة,كروة
104,headache,mal de tête,صُداع,NOUN,وجع الراس,حريق الراس,ميجران,حدا,صدفة,وداعة الله,بيت الما,مجمع,شلية
105,cancel,annuler,أَلْغَى,VERB,كنسل,مسح,انولا,طل,نطل,منح,مسك,اول,انسلخ
107,where,où,أَيْنَ,ADV,فين,على هين,فينه,حين,بتين,همين,هم,هانه,كيفه
110,entrance,entrée,مَدْخَل,NOUN,دخول,باب رئيسي,طرقة,دبلة,بدلة,منشفة,صنف,طاقة,طريقة
116,worry,se inquiéter,قَلِق,VERB,تقلق,توسوس,فزع,تريق,بحلق,خلف,هد,فز,اتوهم
