ID,English,French,MSA,POS,Category,CODA,Region,ASimLevel,FSimLevel,DFreqLevel,DComLevel,EasinessScore
1,number,numéro,رَقْم ، عَدَد,NOUN,Easy,رقم,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
1,number,numéro,رَقْم ، عَدَد,NOUN,Easy,عدد,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
1,number,numéro,رَقْم ، عَدَد,NOUN,Easy,نمرة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",D,S,M,H,350
1,number,numéro,رَقْم ، عَدَد,NOUN,Easy,نميرو,Morocco+Algeria,D,S,L,L,200
1,number,numéro,رَقْم ، عَدَد,NOUN,Easy,نومرو,Tunisia+Libya,D,S,M,L,250
2,hotel,hôtel,فُنْدُق,NOUN,Easy,اطل,Morocco+Algeria,D,D,H,L,200
2,hotel,hôtel,فُنْدُق,NOUN,Easy,اوتيل,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya",D,S,M,M,300
2,hotel,hôtel,فُنْدُق,NOUN,Easy,اوتال,Morocco+Algeria,D,S,L,L,200
2,hotel,hôtel,فُنْدُق,NOUN,Easy,فندق,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,H,H,1300
2,hotel,hôtel,فُنْدُق,NOUN,Easy,فندقة,Iraq,S,D,L,L,1100
2,hotel,hôtel,فُنْدُق,NOUN,Hard,لكوندة,Egypt+Sudan,D,D,L,L,50
2,hotel,hôtel,فُنْدُق,NOUN,Medium,لوكندة,"Egypt+Sudan, Qatar+Saudi+Oman+Yemen",D,D,L,M,100
2,hotel,hôtel,فُنْدُق,NOUN,Easy,هوتيل,"Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Egypt+Sudan",D,S,M,M,250
2,hotel,hôtel,فُنْدُق,NOUN,Easy,وتيل,Tunisia+Libya,D,S,M,L,250
2,hotel,hôtel,فُنْدُق,NOUN,Medium,وطيل,Morocco+Algeria,D,D,L,L,100
3,train,train,قِطار,NOUN,Easy,تران,"Morocco+Algeria, Tunisia+Libya",D,S,M,M,250
3,train,train,قِطار,NOUN,Easy,ترين,Syria+Lebanon+Jordan+Palestine,D,S,M,L,200
3,train,train,قِطار,NOUN,Medium,ترينو,Tunisia+Libya,D,S,L,L,150
3,train,train,قِطار,NOUN,Hard,ريل,Iraq,D,D,M,L,50
3,train,train,قِطار,NOUN,Hard,طران,Morocco+Algeria,D,D,L,L,0
3,train,train,قِطار,NOUN,Hard,طرن,Morocco+Algeria,D,D,M,L,50
3,train,train,قِطار,NOUN,Easy,قطار,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,H,H,1300
3,train,train,قِطار,NOUN,Easy,قطر,Egypt+Sudan,S,D,H,L,1200
3,train,train,قِطار,NOUN,Medium,وابور,Egypt+Sudan,D,D,M,L,150
4,restaurant,restaurant,مَطْعَم,NOUN,Easy,رستوران,"Egypt+Sudan, Morocco+Algeria, Tunisia+Libya",D,S,L,M,200
4,restaurant,restaurant,مَطْعَم,NOUN,Hard,ريستو,Morocco+Algeria,D,D,L,L,50
4,restaurant,restaurant,مَطْعَم,NOUN,Medium,ريستوران,Morocco+Algeria,D,S,L,L,150
4,restaurant,restaurant,مَطْعَم,NOUN,Hard,ريستورو,Morocco+Algeria,D,D,L,L,0
4,restaurant,restaurant,مَطْعَم,NOUN,Easy,مطعم,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,H,H,1300
5,name,nom,ٱِسْم,NOUN,Medium,آسم,Morocco+Algeria,D,D,M,L,150
5,name,nom,ٱِسْم,NOUN,Easy,اسم,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",D,D,H,H,300
5,name,nom,ٱِسْم,NOUN,Medium,سمية,Morocco+Algeria,D,D,M,L,150
5,name,nom,ٱِسْم,NOUN,Medium,كنية,Morocco+Algeria,D,D,M,L,150
6,water,eau,ماء,NOUN,Medium,شربة,Tunisia+Libya,D,D,M,L,150
6,water,eau,ماء,NOUN,Easy,ما,"Morocco+Algeria, Tunisia+Libya",S,D,H,M,1250
6,water,eau,ماء,NOUN,Easy,ماء,Qatar+Saudi+Oman+Yemen,S,D,H,L,1200
6,water,eau,ماء,NOUN,Easy,ماي,"Iraq, Qatar+Saudi+Oman+Yemen",S,D,H,M,1250
6,water,eau,ماء,NOUN,Easy,موي,Qatar+Saudi+Oman+Yemen,S,D,M,L,1150
6,water,eau,ماء,NOUN,Easy,موية,"Qatar+Saudi+Oman+Yemen, Egypt+Sudan",S,D,M,M,1200
6,water,eau,ماء,NOUN,Easy,مي,"Syria+Lebanon+Jordan+Palestine, Iraq",S,D,H,M,1250
6,water,eau,ماء,NOUN,Easy,مية,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya",S,D,M,H,1250
7,yen,yen,يِن,NOUN,Easy,يان,Tunisia+Libya,S,S,M,L,1250
7,yen,yen,يِن,NOUN,Easy,ين,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,S,H,H,1400
8,week,semaine,أُسْبُوع,NOUN,Easy,اسبوع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,H,H,1300
8,week,semaine,أُسْبُوع,NOUN,Easy,جمعة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya",D,D,M,M,200
8,week,semaine,أُسْبُوع,NOUN,Easy,سبوع,"Qatar+Saudi+Oman+Yemen, Tunisia+Libya",S,D,M,M,1200
8,week,semaine,أُسْبُوع,NOUN,Easy,سمانة,Morocco+Algeria,D,S,M,L,250
8,week,semaine,أُسْبُوع,NOUN,Easy,سيمانة,Morocco+Algeria,D,S,M,L,250
9,insurance,assurance,تَأْمِين,NOUN,Medium,اسيرونس,Tunisia+Libya,D,S,L,L,150
9,insurance,assurance,تَأْمِين,NOUN,Medium,اسرنس,Morocco+Algeria,D,S,L,L,150
9,insurance,assurance,تَأْمِين,NOUN,Hard,بوليصة,Egypt+Sudan,D,D,L,L,50
9,insurance,assurance,تَأْمِين,NOUN,Medium,بيما,Qatar+Saudi+Oman+Yemen,D,D,M,L,100
9,insurance,assurance,تَأْمِين,NOUN,Easy,تأمين,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,M,H,1250
9,insurance,assurance,تَأْمِين,NOUN,Hard,سيقورطة,Tunisia+Libya,D,D,L,L,0
9,insurance,assurance,تَأْمِين,NOUN,Easy,ضمان,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",D,D,H,H,300
9,insurance,assurance,تَأْمِين,NOUN,Easy,ضمانة,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",D,D,M,M,200
9,insurance,assurance,تَأْمِين,NOUN,Hard,لاصورونس,Morocco+Algeria,D,D,L,L,0
10,month,mois,شَهْر,NOUN,Easy,شهر,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
11,red,rouge,أَحْمَر,ADJ,Easy,احمر,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",S,D,H,H,1300
11,red,rouge,أَحْمَر,ADJ,Easy,حمر,"Iraq, Tunisia+Libya",S,D,M,M,1200
11,red,rouge,أَحْمَر,ADJ,Easy,حمرة,Morocco+Algeria,S,D,M,L,1150
11,red,rouge,أَحْمَر,ADJ,Easy,روج,"Morocco+Algeria, Syria+Lebanon+Jordan+Palestine, Tunisia+Libya",D,S,M,M,300
11,red,rouge,أَحْمَر,ADJ,Medium,نبيتي,Syria+Lebanon+Jordan+Palestine,D,D,M,L,100
11,red,rouge,أَحْمَر,ADJ,Hard,نبيدي,Syria+Lebanon+Jordan+Palestine,D,D,L,L,0
11,red,rouge,أَحْمَر,ADJ,Easy,وردي,Egypt+Sudan,D,S,H,L,300
12,possible,possible,مُمْكِن,ADJ,Easy,احتمال,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen, Egypt+Sudan, Tunisia+Libya",D,D,H,H,300
12,possible,possible,مُمْكِن,ADJ,Hard,اسكه,Qatar+Saudi+Oman+Yemen,D,D,M,L,50
12,possible,possible,مُمْكِن,ADJ,Hard,بيجوز,Syria+Lebanon+Jordan+Palestine,D,D,M,L,50
12,possible,possible,مُمْكِن,ADJ,Medium,بيصير,Syria+Lebanon+Jordan+Palestine,D,D,H,L,150
12,possible,possible,مُمْكِن,ADJ,Easy,بلاك,Morocco+Algeria,D,D,H,L,200
12,possible,possible,مُمْكِن,ADJ,Medium,بوسيبل,Morocco+Algeria,D,S,M,L,150
12,possible,possible,مُمْكِن,ADJ,Medium,جائز,Iraq,D,D,M,L,150
12,possible,possible,مُمْكِن,ADJ,Easy,جايز,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",D,D,M,H,250
12,possible,possible,مُمْكِن,ADJ,Medium,مباح,Egypt+Sudan,D,D,H,L,150
12,possible,possible,مُمْكِن,ADJ,Easy,محتمل,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",D,D,M,M,200
12,possible,possible,مُمْكِن,ADJ,Easy,مسموح,Morocco+Algeria,D,D,H,L,200
12,possible,possible,مُمْكِن,ADJ,Easy,معقول,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya",D,D,H,M,250
12,possible,possible,مُمْكِن,ADJ,Easy,ممكن,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,H,H,1300
12,possible,possible,مُمْكِن,ADJ,Easy,وارد,"Syria+Lebanon+Jordan+Palestine, Iraq, Egypt+Sudan, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",D,D,H,H,300
12,possible,possible,مُمْكِن,ADJ,Easy,يجوز,Iraq,D,D,H,L,200
12,possible,possible,مُمْكِن,ADJ,Easy,يصير,Qatar+Saudi+Oman+Yemen,D,D,H,L,200
12,possible,possible,مُمْكِن,ADJ,Easy,يمكن,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",D,D,H,M,250
13,museum,musée,مَتْحَف,NOUN,Hard,انتيكخانة,Egypt+Sudan,D,D,L,L,0
13,museum,musée,مَتْحَف,NOUN,Easy,متحف,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
13,museum,musée,مَتْحَف,NOUN,Medium,ميوزيه,Morocco+Algeria,D,S,L,L,100
14,door,porte,باب,NOUN,Easy,باب,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
14,door,porte,باب,NOUN,Easy,بوابة,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine",S,D,M,M,1200
14,door,porte,باب,NOUN,Hard,دروازة,Qatar+Saudi+Oman+Yemen,D,D,L,L,0
15,tea,thé,شاي,NOUN,Easy,اتاي,Morocco+Algeria,D,S,M,L,250
15,tea,thé,شاي,NOUN,Easy,تاي,Tunisia+Libya,D,S,M,L,250
15,tea,thé,شاي,NOUN,Easy,شاي,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
15,tea,thé,شاي,NOUN,Easy,شاهي,"Tunisia+Libya, Qatar+Saudi+Oman+Yemen",D,D,H,M,250
15,tea,thé,شاي,NOUN,Hard,لتاي,Morocco+Algeria,D,D,M,L,50
