ID,English,French,MSA,POS,CODA,CODA_Root,Region,DCom,RCom,ASim,FSim,DFreq,DA_Frequency,ASimLevel,FSimLevel,DFreqLevel,DComLevel,RComLevel,EasinessScore,EasinessCategory,ALL LEVELS?,ALL LEVELS( No ASIM)?
1,number,numéro,رَقْم ، عَدَد,NOUN,رقم,رقم,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,1,0,6,"817,786",S,D,H,H,H,1300,Easy,FALSE,FALSE
1,number,numéro,رَقْم ، عَدَد,NOUN,عدد,عدد,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",5,5,1,0,6,"2,905,059",S,D,H,H,H,1300,Easy,FALSE,FALSE
1,number,numéro,رَقْم ، عَدَد,NOUN,نمرة,نمر,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",4,5,0,1,3,561,D,S,M,H,H,350,Easy,FALSE,FALSE
1,number,numéro,رَقْم ، عَدَد,NOUN,نميرو,نمر,Morocco+Algeria,1,5,0,1,1,12,D,S,L,L,H,200,Easy,FALSE,FALSE
1,number,numéro,رَقْم ، عَدَد,NOUN,نومرو,نمر,Tunisia+Libya,1,5,0,1,2,265,D,S,M,L,H,250,Easy,FALSE,FALSE
2,hotel,hôtel,فُنْدُق,NOUN,اطل,طل,Morocco+Algeria,1,1,0,0,5,"47,386",D,D,H,L,L,100,Medium,TRUE,TRUE
2,hotel,hôtel,فُنْدُق,NOUN,اوتيل,تل,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya",3,4,0,1,4,"5,229",D,S,M,M,H,300,Easy,TRUE,TRUE
2,hotel,hôtel,فُنْدُق,NOUN,اوتال,تل,Morocco+Algeria,1,4,0,1,1,23,D,S,L,L,H,200,Easy,TRUE,TRUE
2,hotel,hôtel,فُنْدُق,NOUN,فندق,فندق,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,6,1,0,5,"291,125",S,D,H,H,H,1300,Easy,TRUE,TRUE
2,hotel,hôtel,فُنْدُق,NOUN,فندقة,فندق,Iraq,1,6,1,0,1,10,S,D,L,L,H,1100,Easy,TRUE,TRUE
2,hotel,hôtel,فُنْدُق,NOUN,لكوندة,لكند,Egypt+Sudan,1,2,0,0,0,0,D,D,L,L,M,50,Hard,TRUE,TRUE
2,hotel,hôtel,فُنْدُق,NOUN,لوكندة,لكند,"Egypt+Sudan, Qatar+Saudi+Oman+Yemen",2,2,0,0,0,1,D,D,L,M,M,100,Medium,TRUE,TRUE
2,hotel,hôtel,فُنْدُق,NOUN,هوتيل,هتل,"Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Egypt+Sudan",3,3,0,1,3,"1,294",D,S,M,M,M,250,Easy,TRUE,TRUE
2,hotel,hôtel,فُنْدُق,NOUN,وتيل,تل,Tunisia+Libya,1,4,0,1,2,158,D,S,M,L,H,250,Easy,TRUE,TRUE
2,hotel,hôtel,فُنْدُق,NOUN,وطيل,طل,Morocco+Algeria,1,1,0,0,1,18,D,D,L,L,L,0,Hard,TRUE,TRUE
3,train,train,قِطار,NOUN,تران,ترن,"Morocco+Algeria, Tunisia+Libya",2,3,0,1,3,777,D,S,M,M,M,250,Easy,TRUE,TRUE
3,train,train,قِطار,NOUN,ترين,ترن,Syria+Lebanon+Jordan+Palestine,1,3,0,1,4,"5,253",D,S,M,L,M,200,Easy,TRUE,TRUE
3,train,train,قِطار,NOUN,ترينو,ترن,Tunisia+Libya,1,3,0,1,1,16,D,S,L,L,M,150,Medium,TRUE,TRUE
