English Word	EN_ARTransliteration	French Word	FR_ARTransliteration
number	نامبر, نَمبَر, نمبر	numéro	نوميرو, نُوميرو, نومِرو
hotel	هوتيل, هوتل, هوتل	hôtel	أوتيل, هوتيل, أُوتيل
train	ترين, تران, ترينن	train	تران, تْران, ترين
restaurant	ريستورانت, رستورانت, ريستورنات	restaurant	رِستوران, رستوران, رِستورَان
name	نيم, نايم, نَيم	nom	نوم, نُم, نوم
water	واتر, وتر, ووتَر	eau	أُو, أو, أُو
yen	ين, يِن, ينن	yen	يَن, يِن, يَن
week	ويك, وييك, ويكك	semaine	سِمَن, سيمان, سِمَان
insurance	انشورنس, انسورانس, انشورانس	assurance	أسورَنس, أَسُرانس, أسورانس
month	مونث, مانث, منث	mois	موا, مويس, موا
red	ريد, رد, رِد	rouge	روج, رُوج, رُوج
possible	بوسبل, بوسيبل, بوزيبيل	possible	بوسيبل, پوسيبل, بُوسيبل
museum	ميوزيوم, موزيوم, ميوزيوم	musée	ميوزيه, موزه, ميوزِيه
door	دور, دوور, دورر	porte	بورت, بُورت, بورت
tea	تي, تيه, تيي	thé	تي, ثي, تي
white	وايت, واهت, وايتت	blanc	بلان, بْلان, بلان
stamp	ستامب, ستيمب, ستامب	timbre	تيمبر, تِمبر, تيمبِر
hospital	هوسبيتال, هاسبيتال, هوسبيتل	hôpital	أوبِتال, أُوبِيتال, هوبِتال
watch	واتش, ووتش, ووتش	montre	مونتر, مُونتر, مونتْر
pain , hurt	باين, هيرت, بين	douleur , mal	دولور, مال, دولور / مال
special	سبيشال, سبيشل, سبيشيال	spécial	سبيسيال, سبِسيال, سبيسيال
personal	بيرسونال, بيرسنال, بيرسونل	personnel	بيرسونيل, پيرسونيل, بيرسونيل
stay	ستاي, ستَي, ستاي	séjour	سيجور, سِيجور, سيجُور
fruit	فروت, فرووت, فرويت	fruit	فروي, فْرُوي, فروي
message	ميسج, مساج, ميساج	message	ميساج, مِيساج, ميساج
american	امريكان, اميركان, امريكَن	américain	أمريكان, أَمِريكَن, أمريكين
leather	ليذر, لاذر, ليتر	cuir	كُوير, كِوير, كوير
cold	كولد, كُولد, كولد	froid	فروآ, فرواد, فْرُوا
music	ميوزيك, موزيك, ميوزِك	musique	ميوزيك, موزيك, ميوزِيك
blanket	بلانكت, بلانكيت, بلانكِت	couverture	كوفيرتُر, كوفِرتور, كوفيرتُر
beach	بيتش, بيِتش, بيتش	plage	بلاج, بْلاج, بلاج
driver	دريفر, درايفر, دريفَر	chauffeur	شوفور, شاوْفور, شوفور
juice	جوس, جوسِ, جوس	jus	جو, جُوس, جو
market	ماركت, ماركِت, ماركِت	marché	مارشيه, مارشِه, مارشيه
tennis	تينيس, تنس, تينّس	tennis	تِنيس, تينيس, تِنِس
meeting	ميتينج, ميتينغ, متينج	réunion	ريونيون, رِيونيون, ريونيون
cheese	تشيز, تشيس, تشيزِ	fromage	فروماج, فْرُماج, فروماج
green	جرين, غرين, غرين	vert	ڤير, فير, ڤير
french	فرينش, فرنش, فرنش	français	فرانسيه, فرَنْسيه, فرانسيه
ham	هام, هامم, هام	jambon	جامبون, جَامبون, جامبُون
rice	رايس, ريس, رايس	riz	ري, رِيز, ري
opera	اوبرا, أوبرا, أوبيرا	opéra	أوبرا, أوبِرا, أوبيرا
account	اككاونت, اكّاونت, اككاونت	compte	كومبت, كُومبت, كومبت
direction	دايركشن, دايرِكشن, دايريكشن	direction	ديركسيون, دِيركسيون, ديركسيون
delicious	ديليشس, ديليشيوس, ديليشس	délicieux	ديليسيو, دِليسيُو, ديليسيُ
main	مين, ماين, مين	principal	برينسيبال, پرينسيبال, برينسيبال
magazine	ماجازين, ماگازين, ماجازين	magazine	ماجازين, ماغازين, ماجازِين
inch	انش, إنچ, إنش	pouce	بوس, بُوس, بوس
tip	تيب, تِب, تيب	pourboire	بوربوَار, پُوربُوار, بوربوير
pair	بير, باير, بير	paire	بَيِر, پير, بَيِر
fork	فورك, فوركك, فورك	fourchette	فورشيت, فورشِت, فورشيت
weekend	ويكند, ويكيند, ويكند	week-end	ويكند, ويك إند, ويكند
art	آرت, أرت, ارت	art	آرت, أَرْت, آرت
perfume	بيرفوم, برفوم, بيرفيوم	parfum	بارفان, پَارفان, بارفُوم
pepper	بيبر, بَبر, بيپر	poivre	بُوڤر, بُوفْر, بُوفر
prefer	بريفَر, بريفِر, بريفَر	préférer	پْرِفِرِه, بْريفِرِه, پْرِفيرِر
