ID,English,French,MSA,POS,Category,CODA,Region,ASimLevel,FSimLevel,DFreqLevel,DComLevel,EasinessScore
2,hotel,hôtel,فُنْدُق,NOUN,Easy,اطل,Morocco+Algeria,D,D,H,L,200
2,hotel,hôtel,فُنْدُق,NOUN,Easy,اوتيل,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya",D,S,M,M,300
2,hotel,hôtel,فُنْدُق,NOUN,Easy,اوتال,Morocco+Algeria,D,S,L,L,200
2,hotel,hôtel,فُنْدُق,NOUN,Easy,فندق,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,H,H,1300
2,hotel,hôtel,فُنْدُق,NOUN,Easy,فندقة,Iraq,S,D,L,L,1100
2,hotel,hôtel,فُنْدُق,NOUN,Hard,لكوندة,Egypt+Sudan,D,D,L,L,50
2,hotel,hôtel,فُنْدُق,NOUN,Medium,لوكندة,"Egypt+Sudan, Qatar+Saudi+Oman+Yemen",D,D,L,M,100
2,hotel,hôtel,فُنْدُق,NOUN,Easy,هوتيل,"Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Egypt+Sudan",D,S,M,M,250
2,hotel,hôtel,فُنْدُق,NOUN,Easy,وتيل,Tunisia+Libya,D,S,M,L,250
2,hotel,hôtel,فُنْدُق,NOUN,Medium,وطيل,Morocco+Algeria,D,D,L,L,100
3,train,train,قِطار,NOUN,Easy,تران,"Morocco+Algeria, Tunisia+Libya",D,S,M,M,250
3,train,train,قِطار,NOUN,Easy,ترين,Syria+Lebanon+Jordan+Palestine,D,S,M,L,200
3,train,train,قِطار,NOUN,Medium,ترينو,Tunisia+Libya,D,S,L,L,150
3,train,train,قِطار,NOUN,Hard,ريل,Iraq,D,D,M,L,50
3,train,train,قِطار,NOUN,Hard,طران,Morocco+Algeria,D,D,L,L,0
3,train,train,قِطار,NOUN,Hard,طرن,Morocco+Algeria,D,D,M,L,50
3,train,train,قِطار,NOUN,Easy,قطار,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,H,H,1300
3,train,train,قِطار,NOUN,Easy,قطر,Egypt+Sudan,S,D,H,L,1200
3,train,train,قِطار,NOUN,Medium,وابور,Egypt+Sudan,D,D,M,L,150
4,restaurant,restaurant,مَطْعَم,NOUN,Easy,رستوران,"Egypt+Sudan, Morocco+Algeria, Tunisia+Libya",D,S,L,M,200
