concept_id	concept_en	concept_fr	msa_word	dia_word	msa_roots	cleaned_msa_root	dia_root	cleaned_dia_root	method
1	number	numéro	رَقْم ، عَدَد	رقم	رقم+عدد	رقم+عدد	رقم	رقم	analyzer
1	number	numéro	رَقْم ، عَدَد	عدد	رقم+عدد	رقم+عدد	عدد	عدد	analyzer
1	number	numéro	رَقْم ، عَدَد	نمرة	رقم+عدد	رقم+عدد	نمر	نمر	analyzer
1	number	numéro	رَقْم ، عَدَد	نميرو	رقم+عدد	رقم+عدد	نمر	نمر	analyzer+fallback
1	number	numéro	رَقْم ، عَدَد	نومرو	رقم+عدد	رقم+عدد	نمر	نمر	analyzer+fallback
2	hotel	hôtel	فُنْدُق	اطل	فندق	فندق	طل	طل	analyzer+fallback
2	hotel	hôtel	فُنْدُق	اوتيل	فندق	فندق	تل	تل	analyzer+fallback
2	hotel	hôtel	فُنْدُق	اوتال	فندق	فندق	تل	تل	analyzer+fallback
2	hotel	hôtel	فُنْدُق	فندق	فندق	فندق	فندق	فندق	analyzer
2	hotel	hôtel	فُنْدُق	فندقة	فندق	فندق	فندق	فندق	analyzer
2	hotel	hôtel	فُنْدُق	لكوندة	فندق	فندق	لكند	لكند	analyzer+fallback
2	hotel	hôtel	فُنْدُق	لوكندة	فندق	فندق	لكند	لكند	analyzer+fallback
2	hotel	hôtel	فُنْدُق	هوتيل	فندق	فندق	هتل	هتل	analyzer+fallback
2	hotel	hôtel	فُنْدُق	وتيل	فندق	فندق	تل	تل	analyzer+fallback
2	hotel	hôtel	فُنْدُق	وطيل	فندق	فندق	طل	طل	analyzer+fallback
3	train	train	قِطار	تران	قطر	قطر	ترن	ترن	analyzer+fallback
3	train	train	قِطار	ترين	قطر	قطر	ترن	ترن	analyzer+fallback
3	train	train	قِطار	ترينو	قطر	قطر	ترن	ترن	analyzer+fallback
3	train	train	قِطار	ريل	قطر	قطر	رل	رل	analyzer+fallback
3	train	train	قِطار	طران	قطر	قطر	طرن	طرن	analyzer+fallback
3	train	train	قِطار	طرن	قطر	قطر	طرن	طرن	analyzer+fallback
3	train	train	قِطار	قطار	قطر	قطر	قطر	قطر	analyzer
3	train	train	قِطار	قطر	قطر	قطر	قطر	قطر	analyzer
3	train	train	قِطار	وابور	قطر	قطر	#بر	بر	analyzer
5	restaurant	restaurant	مَطْعَم	رستوران	طعم	طعم	رسترن	رسترن	analyzer+fallback
5	restaurant	restaurant	مَطْعَم	ريستو	طعم	طعم	رست	رست	analyzer+fallback
5	restaurant	restaurant	مَطْعَم	ريستوران	طعم	طعم	رسترن	رسترن	analyzer+fallback
5	restaurant	restaurant	مَطْعَم	ريستورو	طعم	طعم	رستر	رستر	analyzer+fallback
5	restaurant	restaurant	مَطْعَم	مطعم	طعم	طعم	طعم	طعم	analyzer
