ID,English,French,MSA,POS,CODA,Region,DCom,ASim,FSim,DFreq,DA_Frequency
1,number,numéro,رَقْم ، عَدَد,NOUN,رقم,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,1,0,6,"817,786"
1,number,numéro,رَقْم ، عَدَد,NOUN,عدد,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",5,1,0,6,"2,905,059"
1,number,numéro,رَقْم ، عَدَد,NOUN,نمرة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",4,0,1,3,561
1,number,numéro,رَقْم ، عَدَد,NOUN,نميرو,Morocco+Algeria,1,0,1,1,12
1,number,numéro,رَقْم ، عَدَد,NOUN,نومرو,Tunisia+Libya,1,0,1,2,265
2,hotel,hôtel,فُنْدُق,NOUN,اطل,Morocco+Algeria,1,0,0,5,"47,386"
2,hotel,hôtel,فُنْدُق,NOUN,اوتيل,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya",3,0,1,4,"5,229"
2,hotel,hôtel,فُنْدُق,NOUN,اوتال,Morocco+Algeria,1,0,1,1,23
2,hotel,hôtel,فُنْدُق,NOUN,فندق,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,1,0,5,"291,125"
2,hotel,hôtel,فُنْدُق,NOUN,فندقة,Iraq,1,1,0,1,10
2,hotel,hôtel,فُنْدُق,NOUN,لكوندة,Egypt+Sudan,1,0,0,0,0
2,hotel,hôtel,فُنْدُق,NOUN,لوكندة,"Egypt+Sudan, Qatar+Saudi+Oman+Yemen",2,0,0,0,1
2,hotel,hôtel,فُنْدُق,NOUN,هوتيل,"Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Egypt+Sudan",3,0,1,3,"1,294"
2,hotel,hôtel,فُنْدُق,NOUN,وتيل,Tunisia+Libya,1,0,1,2,158
2,hotel,hôtel,فُنْدُق,NOUN,وطيل,Morocco+Algeria,1,0,0,1,18
3,train,train,قِطار,NOUN,تران,"Morocco+Algeria, Tunisia+Libya",2,0,1,3,777
3,train,train,قِطار,NOUN,ترين,Syria+Lebanon+Jordan+Palestine,1,0,1,4,"5,253"
3,train,train,قِطار,NOUN,ترينو,Tunisia+Libya,1,0,1,1,16
3,train,train,قِطار,NOUN,ريل,Iraq,1,0,0,4,"8,084"
3,train,train,قِطار,NOUN,طران,Morocco+Algeria,1,0,0,1,8
3,train,train,قِطار,NOUN,طرن,Morocco+Algeria,1,0,0,3,322
3,train,train,قِطار,NOUN,قطار,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",5,1,0,5,"74,383"
3,train,train,قِطار,NOUN,قطر,Egypt+Sudan,1,1,0,6,"1,175,187"
3,train,train,قِطار,NOUN,وابور,Egypt+Sudan,1,0,0,2,172
4,restaurant,restaurant,مَطْعَم,NOUN,رستوران,"Egypt+Sudan, Morocco+Algeria, Tunisia+Libya",3,0,1,1,16
4,restaurant,restaurant,مَطْعَم,NOUN,ريستو,Morocco+Algeria,1,0,0,1,18
4,restaurant,restaurant,مَطْعَم,NOUN,ريستوران,Morocco+Algeria,1,0,1,1,14
4,restaurant,restaurant,مَطْعَم,NOUN,ريستورو,Morocco+Algeria,1,0,0,0,0
4,restaurant,restaurant,مَطْعَم,NOUN,مطعم,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,1,0,5,"181,449"
5,name,nom,ٱِسْم,NOUN,آسم,Morocco+Algeria,1,0,0,2,161
5,name,nom,ٱِسْم,NOUN,اسم,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,0,0,6,"1,009,398"
5,name,nom,ٱِسْم,NOUN,سمية,Morocco+Algeria,1,0,0,3,"1,750"
5,name,nom,ٱِسْم,NOUN,كنية,Morocco+Algeria,1,0,0,2,81
6,water,eau,ماء,NOUN,شربة,Tunisia+Libya,1,0,0,3,415
6,water,eau,ماء,NOUN,ما,"Morocco+Algeria, Tunisia+Libya",2,1,0,8,"37,545,128"
6,water,eau,ماء,NOUN,ماء,Qatar+Saudi+Oman+Yemen,1,1,0,5,"295,270"
6,water,eau,ماء,NOUN,ماي,"Iraq, Qatar+Saudi+Oman+Yemen",2,1,0,5,"76,919"
6,water,eau,ماء,NOUN,موي,Qatar+Saudi+Oman+Yemen,1,1,0,4,"3,638"
6,water,eau,ماء,NOUN,موية,"Qatar+Saudi+Oman+Yemen, Egypt+Sudan",2,1,0,3,"1,329"
6,water,eau,ماء,NOUN,مي,"Syria+Lebanon+Jordan+Palestine, Iraq",2,1,0,6,"750,385"
6,water,eau,ماء,NOUN,مية,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya",4,1,0,4,"6,661"
7,yen,yen,يِن,NOUN,يان,Tunisia+Libya,1,1,1,4,"18,953"
7,yen,yen,يِن,NOUN,ين,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,1,1,5,"79,068"
8,week,semaine,أُسْبُوع,NOUN,اسبوع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,1,0,6,"492,738"
8,week,semaine,أُسْبُوع,NOUN,جمعة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya",3,0,0,4,"4,904"
8,week,semaine,أُسْبُوع,NOUN,سبوع,"Qatar+Saudi+Oman+Yemen, Tunisia+Libya",2,1,0,4,"12,991"
8,week,semaine,أُسْبُوع,NOUN,سمانة,Morocco+Algeria,1,0,1,2,68
8,week,semaine,أُسْبُوع,NOUN,سيمانة,Morocco+Algeria,1,0,1,2,89
9,insurance,assurance,تَأْمِين,NOUN,اسيرونس,Tunisia+Libya,1,0,1,0,2
9,insurance,assurance,تَأْمِين,NOUN,اسرنس,Morocco+Algeria,1,0,1,0,0
9,insurance,assurance,تَأْمِين,NOUN,بوليصة,Egypt+Sudan,1,0,0,1,19
9,insurance,assurance,تَأْمِين,NOUN,بيما,Qatar+Saudi+Oman+Yemen,1,0,0,2,222
9,insurance,assurance,تَأْمِين,NOUN,تأمين,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,1,0,3,781
9,insurance,assurance,تَأْمِين,NOUN,سيقورطة,Tunisia+Libya,1,0,0,1,10
9,insurance,assurance,تَأْمِين,NOUN,ضمان,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",5,0,0,6,"399,576"
9,insurance,assurance,تَأْمِين,NOUN,ضمانة,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",2,0,0,2,61
9,insurance,assurance,تَأْمِين,NOUN,لاصورونس,Morocco+Algeria,1,0,0,0,0
10,month,mois,شَهْر,NOUN,شهر,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,1,0,6,"678,996"
11,red,rouge,أَحْمَر,ADJ,احمر,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",6,1,0,5,"255,932"
