ID,English,French,MSA,POS,Easy_target,Medium_target,Hard_target,Easy_distractor,Medium_distractor,Hard_distractor
2,hotel,hôtel,فُنْدُق,NOUN,اوتيل,لكوندة,وطيل,,,
9,insurance,assurance,تَأْمِين,NOUN,ضمان,اسرنس,لاصورونس,,,
12,possible,possible,مُمْكِن,ADJ,وارد,يصير,اسكه,,,
20,"pain , hurt","douleur , mal",أَلَم,NOUN,وجيعة,حريق,عوار,,,
23,stay,séjour,إِقامَة,NOUN,قعاد,سجور,نزلة,,,
30,blanket,couverture,بَطّانِيَّة,NOUN,غطا,فراش,كوفرتة,,,
31,beach,plage,شاطِئ,NOUN,بلاج,كورنيش,ساحل,,,
33,juice,jus,عَصِير,NOUN,جو,شراب,زوم,,,
36,meeting,réunion,ٱِجْتِماع,NOUN,جلسة,لمة,ريينيو,,,
44,direction,direction,ٱِتِّجاه,NOUN,طريق,جنب,صفحة,,,
45,delicious,délicieux,لَذِيذ,ADJ,حالي,شهي,زاكي,,,
46,main,principal,رَئِيسِيّ,ADJ,اساسي,مركزي,لاباز,,,
49,tip,pourboire,بَقْشِيش,NOUN,بوربوار,حق التعب,تيبس,,,
50,pair,paire,زَوْج,NOUN,اثنين,الاثنين,اثنيناتهم,,,
52,weekend,week-end,نِهايَة ال+ أُسْبُوع,NOUN,نهاية الاسبوع,عطلة نهاية الاسبوع,الجمعة,,,
56,prefer,préférer,فَضَّل,VERB,حب,عجبه اكثر,بدى,,,
60,pen,stylo,قَلَم,NOUN,ستيلو,قلم حبر,بيرو,,,
61,wake,réveiller,أَيْقَظ,VERB,صحي,نوض,نهض,,,
62,express,express,سَرِيع,ADJ,اكسبرس,مستعجل,مزروب,,,
63,souvenir,souvenir,تَذْكار,NOUN,سوفنير,ذكرى,تحفة قديمة,,,
66,necessary,nécessaire,ضَرُورِيّ,ADJ,مهم,واجب,مستلزم,,,
68,zoo,zoo,حَدِيقَة ال+ حَيَوانات,NOUN,حديقة الحيوانات,جنينة الحيوان,بوسكو,,,
76,garden,jardin,حَدِيقَة,NOUN,بستان,جردة,زراعة,,,
79,sick,malade,مَرِيض,ADJ,تعبان,سهران,متوعك,,,
84,why,pourquoi,لِماذا,ADV,ليه,وعلاش,لليش,,,
92,help,aider,ساعَد,VERB,عاون,سند,سعف,,,
95,credit,crédit,ٱِئْتِمان,NOUN,كريدي,قرض,بطاقة ائتمان,,,
96,thanks,merci,شُكْراً,NOUN,مشكور,يعطيك الصحة,متشكر,,,
97,service,service,خِدْمَة,NOUN,معروف,مساعدة,مزية,,,
98,cigarette,cigarette,سِيجارَة,NOUN,دخان,جيرو,سيكارة,,,
100,tie,cravate,رَبْطَة عُنْق,NOUN,كرافات,ربطة,جرافة,,,
104,headache,mal de tête,صُداع,NOUN,وجع الراس,حريق الراس,ميجران,,,
105,cancel,annuler,أَلْغَى,VERB,كنسل,مسح,انولا,,,
107,where,où,أَيْنَ,ADV,فين,على هين,فينه,,,
110,entrance,entrée,مَدْخَل,NOUN,دخول,باب رئيسي,طرقة,,,
116,worry,se inquiéter,قَلِق,VERB,تقلق,توسوس,فزع,,,
117,accident,accident,حادِث,NOUN,اكسيدون,دعمة,كسدة,,,
118,order,commande,طَلَب,NOUN,اوردر,امر,,,,
120,beef,boeuf,لَحْم بَقَرِيّ,ADJ,لحم عجل,بقري,شمبري,,,
123,bus,bus,حافِلَة,NOUN,بص,بوس,كار,,,
124,local,local,مَحَلِّيّ,ADJ,بلدي,منزلي,موضعي,,,
131,steak,steak,شَرِيحَة لَحْم,NOUN,ستيك,شطفة لحم,بفتيك,,,
135,foreign,étranger,أَجْنَبِيّ,ADJ,خارجي,براني,افرنجي,,,
136,use,usage,ٱِسْتِخْدام,NOUN,استعمال,استغلال,ستعمال,,,
137,natural,naturel,طَبِيعِيّ,ADJ,عادي,ناتورال,فطري,,,
140,hear,entendre,سَمِع,VERB,تسمع,فهم,تصنت,,,
142,view,vue,مَنْظَر,NOUN,مشهد,فيو,فرجة,,,
143,coat,manteau,مِعْطَف,NOUN,كوت,جاكيتة,بالطو,,,
148,class,classe,دَرَجَة,NOUN,مستوى,مكانة,طراز,,,
149,shirt,chemise,قَمِيص,NOUN,شميز,فنيلة,قمجة,,,
151,watch,regarder,شاهَد,VERB,شاف,ابصر,دحج,,,
156,arm,bras,ذِراع,NOUN,ايد,ساعد,دراع,,,
159,lock,enfermer,أَغْلَق,VERB,سكر,شد,طفى,,,
160,child,enfant,طِفْل,NOUN,فرخ,بيبي,صبي,,,
161,room,chambre,غُرْفَة ، حُجْرَة,NOUN,بيت,دار,صفة,,,
164,friend,ami,صَدِيق,NOUN,امي,خبير,زميل,,,
166,side,côté,جانِب,NOUN,طرف,ناحية,صفحة,,,
170,different,différent,مُخْتَلِف,ADJ,غير,عكس,متفاوت,,,
171,shower,douche,دُوش,NOUN,حمام,شاور,بانيو,,,
173,country,pays,بَلَد,NOUN,دولة,قطر,ديرة,,,
174,new,nouveau,جَدِيد,ADJ,حديث,جديد لنج,مودرن,,,
175,bottle,bouteille,زُجاجَة,NOUN,بطل,قزازة,غرشة,,,
