ID,English,French,MSA,POS,Easy,Medium,Hard
2,hotel,hôtel,فُنْدُق,NOUN,اوتيل | اوتال | هوتيل | وتيل,اطل | لوكندة,لكوندة | وطيل
3,train,train,قِطار,NOUN,تران | ترين,ترينو,ريل | طران | طرن | وابور
4,restaurant,restaurant,مَطْعَم,NOUN,رستوران,ريستوران,ريستو | ريستورو
9,insurance,assurance,تَأْمِين,NOUN,ضمان | ضمانة,اسيرونس | اسرنس,بوليصة | بيما | سيقورطة | لاصورونس
12,possible,possible,مُمْكِن,ADJ,احتمال | جايز | محتمل | معقول | وارد | يجوز | يمكن,بيصير | بلاك | بوسيبل | جائز | مباح | مسموح | يصير,اسكه | بيجوز
20,"pain , hurt","douleur , mal",أَلَم,NOUN,وجع,جرح | حرق | حريق | سهر | ضر | عذاب | وجيعة,عوار
23,stay,séjour,إِقامَة,NOUN,قعدة,بيات | سجور | سيجور | قعاد | مبيت,جلسة | نزلة
30,blanket,couverture,بَطّانِيَّة,NOUN,غطا | غطاء | لحاف,حرام | فراش,برنوص | شاذر | فرشية | كمبل | كوفرتة | كيشة | ملاية
31,beach,plage,شاطِئ,NOUN,بحر | بلاج,كورنيش,ساحل | لابلاج
33,juice,jus,عَصِير,NOUN,جو,شراب | شربت,زوم
36,meeting,réunion,ٱِجْتِماع,NOUN,تجمع | جلسة | جمعة | لقاء,قعدة | لمة | مقابلة | ملتقى,ريونيو | ريينيو | ملاقاة | ندوة
44,direction,direction,ٱِتِّجاه,NOUN,جهة | طريق,جنب | جيهة | صوب | مسار | ناحية | وجهة | يم,شيرة | صفحة | صلا | مسلك | ميلة | يمة
45,delicious,délicieux,لَذِيذ,ADJ,حالي | حلو | طعم | طيب,بنين | ذكي | زين | شهي | طاعم | طعيم | لطيف,بيشهي | زاكي
46,main,principal,رَئِيسِيّ,ADJ,اساسي,لازم | مركزي | هو صح,جوهري | عمومي | لاباز | ليسونسيل
49,tip,pourboire,بَقْشِيش,NOUN,اكرامية | بوربوار,بخشيش | حق التعب | حلاوة | حلوان,تضويرة | تيبس | مساعدة | مكافأة
50,pair,paire,زَوْج,NOUN,اثنين,الاثنين | جوز,اثنيناتهم | ازواز | جزمة | جوج | حبتين | زوز | فردتين
52,weekend,week-end,نِهايَة ال+ أُسْبُوع,NOUN,نهاية الاسبوع | ويكيند | ويكاند,آخر الاسبوع | آخر الجمعة | عطلة | عطلة نهاية الاسبوع,الجمعة
56,prefer,préférer,فَضَّل,VERB,حب | خير,استخار | عجبه اكثر,استروح | بدى | حبز
60,pen,stylo,قَلَم,NOUN,ستيلو,قلم حبر,بنينة | بيرو
61,wake,réveiller,أَيْقَظ,VERB,صحى | صحي | قعد | قوم,فيق | قيم | نوض,نهض | وعى
62,express,express,سَرِيع,ADJ,اكسبريس | اكسبرس,مستعجل,بسرعة | داوي | رابيد | فريرة | مزروب | مسرع
63,souvenir,souvenir,تَذْكار,NOUN,سوفنير,ذكرى | هدية,تحفة قديمة | حاجة تذكارية | صوغة
66,necessary,nécessaire,ضَرُورِيّ,ADJ,لازم | مطلوب | مهم,واجب,مستلزم
68,zoo,zoo,حَدِيقَة ال+ حَيَوانات,NOUN,حديقة الحيوان | حديقة الحيوانات | حديقة حيوان | حديقة حيوانات | زو,جنينة الحيوان,بوسكو
76,garden,jardin,حَدِيقَة,NOUN,بستان | جنان | جنينة,ارض | جردان | جردة | حقل | روضة | منتزه,زراعة | نجيلة
79,sick,malade,مَرِيض,ADJ,تعبان,سهران | عليل | عيان | ماني طيب | مالاد | متخربط | متمرض | مرضان,اتمرض | متوعك
81,passport,passeport,جَواز سَفَر,NOUN,باسبور | جواز,بسبور,باسبورت
83,color,couleur,لَوْن,NOUN,كولور,صبغة,صبيغة
84,why,pourquoi,لِماذا,ADV,علاش | لويش | ليش | ليه,حال موه | عشان شنو | عليش | لواش | وراه | وعلاش,حموه | علاه | للمه | لليش
92,help,aider,ساعَد,VERB,دعم | عاون | نفع,ايد | خدم | ساند | سند | فاد | لحق | نجد,اسعف | اغاث | انجد | سعف | فزع
95,credit,crédit,ٱِئْتِمان,NOUN,رصيد | كريدي,تسليف | دين | سلف | سلفة | سلفية | قرض,بطاقة ائتمان
96,thanks,merci,شُكْراً,NOUN,مرسى | مشكور,احسنت | تسلم | صحيت | عشت | عيشك | ما قصرت | ميرسى | مرسي عليك | يسلموا | يعطيك الصحة | يعطيك العافية | يعيشك,صحة | متشكر
97,service,service,خِدْمَة,NOUN,معروف,سرفيس | سيرفيس | طلب | مساعدة,امارة | قضية | مزية
98,cigarette,cigarette,سِيجارَة,NOUN,دخان,جارو | جيرو,شقارة | شكارة | جيكارة | زجارة | زقارة | سبسي | سيكارة
100,tie,cravate,رَبْطَة عُنْق,NOUN,كرافات | كرفتة | كرافاتة,رباط | ربطة,جرافة | جرفطة | قرباطة | قرواطة | كرافة | نكتاي
104,headache,mal de tête,صُداع,NOUN,وجع الراس | وجع راس | وجعية راس,حريق الراس | صداع الراس | وجع فالراس,شقيقة | مصدع | ميجران
105,cancel,annuler,أَلْغَى,VERB,بطل | كنسل,مسح,انولا
107,where,où,أَيْنَ,ADV,فين,على هين | هين,فينه
