ID,English,French,MSA,POS,Easy_target,Medium_target,Hard_target,Easy_distractor,Medium_distractor,Hard_distractor
2,hotel,hôtel,فُنْدُق,NOUN,اوتيل,لكوندة,وطيل,حمام [rand],كرة [hard],اهل [edit]
9,insurance,assurance,تَأْمِين,NOUN,ضمان,اسرنس,لاصورونس,مكتوب [rand],قزاز [hard],زمان [edit]
12,possible,possible,مُمْكِن,ADJ,وارد,يصير,اسكه,يجنن [rand],متهيأ [hard],معقولة [edit]
20,"pain , hurt","douleur , mal",أَلَم,NOUN,وجيعة,حريق,عوار,مقابل [rand],هوير [hard],طريق [edit]
23,stay,séjour,إِقامَة,NOUN,قعاد,سجور,نزلة,ست [rand],طراد [hard],قعادة [edit]
30,blanket,couverture,بَطّانِيَّة,NOUN,غطا,فراش,كوفرتة,برة [rand],ثنية [hard],شيشة [edit]
31,beach,plage,شاطِئ,NOUN,بلاج,كورنيش,ساحل,موضوع [rand],صيغة [hard],بلاغ [edit]
33,juice,jus,عَصِير,NOUN,جو,شراب,زوم,فوق العين والراس [rand],مشا [hard],شربة [edit]
36,meeting,réunion,ٱِجْتِماع,NOUN,جلسة,لمة,ريينيو,قوام [rand],اصنصيل [hard],جماعة [edit]
44,direction,direction,ٱِتِّجاه,NOUN,طريق,جنب,صفحة,قلم حبر [rand],صيغة [hard],شيرت [edit]
45,delicious,délicieux,لَذِيذ,ADJ,حالي,شهي,زاكي,من الناحية الثانية [rand],يديد [hard],رزين [edit]
46,main,principal,رَئِيسِيّ,ADJ,اساسي,مركزي,لاباز,خالص [rand],بزايد [hard],كوري [edit]
49,tip,pourboire,بَقْشِيش,NOUN,بوربوار,حق التعب,تيبس,عربانة [rand],معليه [hard],مكانة [edit]
50,pair,paire,زَوْج,NOUN,اثنين,الاثنين,اثنيناتهم,ثياب [rand],ساكوات [hard],جو [edit]
52,weekend,week-end,نِهايَة ال+ أُسْبُوع,NOUN,نهاية الاسبوع,عطلة نهاية الاسبوع,الجمعة,بعد [rand],بالكل [hard],طلة [edit]
56,prefer,préférer,فَضَّل,VERB,حب,عجبه اكثر,بدى,شاف [rand],حتر [hard],استراح [edit]
60,pen,stylo,قَلَم,NOUN,ستيلو,قلم حبر,بيرو,بابا [rand],بالتأكيد [hard],جيرو [edit]
61,wake,réveiller,أَيْقَظ,VERB,صحي,نوض,نهض,فوت [rand],تصنت [hard],ودى [edit]
62,express,express,سَرِيع,ADJ,اكسبرس,مستعجل,مزروب,خطير [rand],اهواي [hard],مطلوب [edit]
63,souvenir,souvenir,تَذْكار,NOUN,سوفنير,ذكرى,تحفة قديمة,حصة [rand],قنينة [hard],صيغة [edit]
66,necessary,nécessaire,ضَرُورِيّ,ADJ,مهم,واجب,مستلزم,معقول [rand],ملائم [hard],واجد [edit]
68,zoo,zoo,حَدِيقَة ال+ حَيَوانات,NOUN,حديقة الحيوانات,جنينة الحيوان,بوسكو,جاهل [rand],نمرة [hard],زول [edit]
76,garden,jardin,حَدِيقَة,NOUN,بستان,جردة,زراعة,زريعة [rand],ريستو [hard],روحة [edit]
79,sick,malade,مَرِيض,ADJ,تعبان,سهران,متوعك,طيب [rand],معبي [hard],مزيان [edit]
84,why,pourquoi,لِماذا,ADV,ليه,وعلاش,لليش,يجوز [rand],يستوي [hard],قديش [edit]
92,help,aider,ساعَد,VERB,عاون,سند,سعف,كمل [rand],ريع [hard],لاحق [edit]
95,credit,crédit,ٱِئْتِمان,NOUN,كريدي,قرض,بطاقة ائتمان,من غير [rand],صنف [hard],سالفة [edit]
96,thanks,merci,شُكْراً,NOUN,مشكور,يعطيك الصحة,متشكر,صوب [rand],بيي [hard],صحلة [edit]
97,service,service,خِدْمَة,NOUN,معروف,مساعدة,مزية,في حدود [rand],صبية [hard],مساندة [edit]
98,cigarette,cigarette,سِيجارَة,NOUN,دخان,جيرو,سيكارة,تجاه [rand],سعما [hard],طبسي [edit]
100,tie,cravate,رَبْطَة عُنْق,NOUN,كرافات,ربطة,جرافة,نطاق [rand],كبوط [hard],كوفرتة [edit]
104,headache,mal de tête,صُداع,NOUN,وجع الراس,حريق الراس,ميجران,طيب [rand],جرباية [hard],ميدسان [edit]
105,cancel,annuler,أَلْغَى,VERB,كنسل,مسح,انولا,دير بالك [rand],انكب [hard],طل [edit]
107,where,où,أَيْنَ,ADV,فين,على هين,فينه,بكم [rand],بالكشي [hard],ليه [edit]
110,entrance,entrée,مَدْخَل,NOUN,دخول,باب رئيسي,طرقة,زي [rand],وعا [hard],ورقة [edit]
116,worry,se inquiéter,قَلِق,VERB,تقلق,توسوس,فزع,وقف [rand],بحبش [hard],حاكى [edit]
