ID,English,French,MSA,POS,CODA,Region,DCom,RCom,ASim,FSim,DFreq,DA_Frequency,ASimLevel,FSimLevel,DFreqLevel,DComLevel,RComLevel,EasinessScore,EasinessCategory
1,number,numéro,رَقْم ، عَدَد,NOUN,رقم,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,1,0,6,"817,786",S,D,H,H,H,1300,Easy
1,number,numéro,رَقْم ، عَدَد,NOUN,عدد,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",5,6,1,0,6,"2,905,059",S,D,H,H,H,1300,Easy
1,number,numéro,رَقْم ، عَدَد,NOUN,نمرة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",4,5,0,1,3,561,D,S,M,H,H,350,Easy
1,number,numéro,رَقْم ، عَدَد,NOUN,نميرو,Morocco+Algeria,1,5,0,1,1,12,D,S,L,L,H,200,Easy
1,number,numéro,رَقْم ، عَدَد,NOUN,نومرو,Tunisia+Libya,1,5,0,1,2,265,D,S,M,L,H,250,Easy
2,hotel,hôtel,فُنْدُق,NOUN,اطل,Morocco+Algeria,1,6,0,0,5,"47,386",D,D,H,L,H,200,Easy
2,hotel,hôtel,فُنْدُق,NOUN,اوتيل,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya",3,5,0,1,4,"5,229",D,S,M,M,H,300,Easy
2,hotel,hôtel,فُنْدُق,NOUN,اوتال,Morocco+Algeria,1,5,0,1,1,23,D,S,L,L,H,200,Easy
2,hotel,hôtel,فُنْدُق,NOUN,فندق,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,6,1,0,5,"291,125",S,D,H,H,H,1300,Easy
2,hotel,hôtel,فُنْدُق,NOUN,فندقة,Iraq,1,6,1,0,1,10,S,D,L,L,H,1100,Easy
2,hotel,hôtel,فُنْدُق,NOUN,لكوندة,Egypt+Sudan,1,2,0,0,0,0,D,D,L,L,M,50,Hard
2,hotel,hôtel,فُنْدُق,NOUN,لوكندة,"Egypt+Sudan, Qatar+Saudi+Oman+Yemen",2,2,0,0,0,1,D,D,L,M,M,100,Medium
2,hotel,hôtel,فُنْدُق,NOUN,هوتيل,"Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Egypt+Sudan",3,3,0,1,3,"1,294",D,S,M,M,M,250,Easy
2,hotel,hôtel,فُنْدُق,NOUN,وتيل,Tunisia+Libya,1,5,0,1,2,158,D,S,M,L,H,250,Easy
2,hotel,hôtel,فُنْدُق,NOUN,وطيل,Morocco+Algeria,1,6,0,0,1,18,D,D,L,L,H,100,Medium
3,train,train,قِطار,NOUN,تران,"Morocco+Algeria, Tunisia+Libya",2,3,0,1,3,777,D,S,M,M,M,250,Easy
3,train,train,قِطار,NOUN,ترين,Syria+Lebanon+Jordan+Palestine,1,3,0,1,4,"5,253",D,S,M,L,M,200,Easy
3,train,train,قِطار,NOUN,ترينو,Tunisia+Libya,1,3,0,1,1,16,D,S,L,L,M,150,Medium
3,train,train,قِطار,NOUN,ريل,Iraq,1,1,0,0,4,"8,084",D,D,M,L,L,50,Hard
3,train,train,قِطار,NOUN,طران,Morocco+Algeria,1,1,0,0,1,8,D,D,L,L,L,0,Hard
